Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;MWh;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
20.12.21;00:00;00:00;788.331,25;186.486;309.106;1.547.614,25;238.632,25;33.160,50;1.270.029,75;2.402.147,50;1.494.461,25;1.166.551,50;186.220,25;267.091
27.12.21;00:00;00:00;763.112,75;237.625,75;786.222,75;3.438.764,75;171.986,25;28.020,25;1.009.732,25;1.431.732,75;661.548,75;560.765,75;194.504;247.266,50
03.01.22;00:00;00:00;762.562;238.986;854.076,25;3.549.799,75;171.203,25;31.629,75;647.478,50;1.998.455;1.341.207,75;854.902,25;186.057;241.293,25
10.01.22;00:00;00:00;782.687,25;231.942,25;512.258;1.562.592,75;242.353,75;34.746,25;648.614,50;2.324.633,25;1.844.981,50;1.599.791,25;199.133,75;217.427,25
17.01.22;00:00;00:00;784.688,50;205.635,50;724.747;2.927.110;230.695,75;34.139;677.747,50;2.146.003,25;1.701.147,25;1.351.475,25;185.650,25;245.242,50
24.01.22;00:00;00:00;786.917;195.540,25;673.304,50;3.420.938,25;248.488,75;32.069,50;674.562,25;1.799.477,25;1.506.528,50;1.320.450,50;201.556;235.611,50
31.01.22;00:00;00:00;784.965,25;174.541,75;744.287;4.619.095;261.277,25;29.084,50;670.901,75;1.591.180,25;1.081.739,75;1.035.874,75;174.758,25;240.279
07.02.22;00:00;00:00;790.705,25;181.658,50;776.704,75;3.666.018,50;583.556,75;31.210,25;681.652,25;1.770.811;1.368.613,50;1.032.081,75;149.548,50;246.756,75
14.02.22;00:00;00:00;777.152;191.585;759.081,25;5.469.902,75;456.933,50;28.291,50;672.711;1.182.458,50;1.029.259,75;807.258,75;183.818,75;237.270,25
21.02.22;00:00;00:00;783.133,75;186.789,75;693.763,25;4.078.092;772.781,50;29.257;672.322,50;1.865.306;1.283.927,25;811.815,50;193.412,50;250.428
28.02.22;00:00;00:00;794.050;183.655,25;314.627,75;957.206,75;1.111.233;33.096,25;681.923;2.275.054,75;1.878.073,75;1.222.482,25;185.554,25;271.367,25
07.03.22;00:00;00:00;786.877;163.847,25;467.893,50;2.275.318,25;1.469.288,25;29.698;673.376,50;1.954.809;1.494.363,75;896.550,50;212.284;260.614
14.03.22;00:00;00:00;790.367,75;180.517,75;394.930,75;2.191.581,25;989.150,50;29.456,50;669.979;1.977.216,75;1.441.868,25;1.138.318,50;186.070,50;254.449
21.03.22;00:00;00:00;782.712,25;193.879,50;141.250,50;803.505,50;1.577.560;28.335,75;664.995,75;2.130.826,25;1.672.354,25;1.145.564;173.626;245.976,75
28.03.22;00:00;00:00;764.709,50;199.796;415.838,50;1.966.127,25;804.723,25;28.371,25;665.501,75;2.173.134,75;1.517.006,50;1.125.864;195.340,50;258.840,50
04.04.22;00:00;00:00;770.768;212.752,25;693.129;4.527.881;902.955;24.280,50;673.670,50;1.604.859,50;853.276,25;689.223,50;183.465,50;216.759,50
11.04.22;00:00;00:00;770.178,50;225.068;359.575,75;1.296.615;1.611.762,75;25.792,75;667.748,50;2.018.966,25;968.124,25;786.931,25;197.440,25;246.603,25
18.04.22;00:00;00:00;768.255,50;209.151,50;506.475;1.921.906,50;1.553.653,50;25.597,75;665.953;1.964.360,25;672.070,25;644.809,50;166.044,50;237.934,50
25.04.22;00:00;00:00;769.459;223.551,50;128.404,50;584.297,25;1.431.340,75;24.301,75;667.251,25;2.226.991,25;1.220.882,25;976.740;114.388,25;216.029,25
02.05.22;00:00;00:00;765.069;238.508,75;121.380;482.582;1.599.582,50;20.009,25;585.514,25;2.143.606,75;1.136.160;579.715,25;119.557,50;197.699
09.05.22;00:00;00:00;749.862,75;270.531;405.144;1.694.070,25;1.876.878;19.315,50;433.780,25;1.850.602;609.708,25;434.850,50;199.234,75;211.252
16.05.22;00:00;00:00;744.343,50;323.654,25;272.899;1.464.176;1.754.102,75;19.157;430.017;1.839.262,25;715.409,50;457.229,50;189.503,25;208.058,75
23.05.22;00:00;00:00;747.004,75;317.642,50;672.544,25;2.616.405,25;1.468.657;19.175,75;513.084,50;1.505.777;439.470,75;344.064,25;204.060,75;206.475
30.05.22;00:00;00:00;759.479,25;299.437,75;176.639,75;844.075,25;1.731.237,25;18.710,75;590.174,25;2.193.362,75;633.023,50;626.199,75;200.264,50;226.917,50
06.06.22;00:00;00:00;727.370,50;321.468,75;433.690,75;1.224.531,25;1.691.979,50;18.700,25;434.707,50;2.055.257,50;605.574,50;400.460,25;169.147,50;198.713,50
13.06.22;00:00;00:00;712.837,25;298.609,25;240.453,75;1.080.897,75;2.064.999;18.117,25;443.870;1.995.486,50;811.887;360.865;223.957,75;201.506,50
20.06.22;00:00;00:00;726.865;301.784;198.991,50;847.168,25;1.760.934,25;17.703,25;504.005,75;2.081.449;1.108.812,75;445.078,50;210.101,25;197.131
27.06.22;00:00;00:00;721.578;301.370;276.477,25;959.182,25;1.748.244,25;18.400;658.567,25;2.145.608,75;1.090.313,50;735.913,50;206.694,25;184.408,50
04.07.22;00:00;00:00;731.677;280.746,25;557.729,75;1.774.686,25;1.621.932,50;17.994,75;661.786,25;1.921.248,75;1.029.986,25;583.971,50;233.632,25;197.093,50
11.07.22;00:00;00:00;732.101,25;237.755,50;353.144,75;1.173.980,25;1.915.484,75;17.368;659.161;1.932.153;966.627,50;903.483,75;231.751,50;215.789,25
18.07.22;00:00;00:00;715.530,25;259.021,25;372.682,75;858.604;1.905.214,25;17.580,25;661.645,50;2.049.081,50;938.710;1.295.405,50;256.242,25;217.750,75
25.07.22;00:00;00:00;719.403,50;264.305,25;335.197,75;1.202.046;1.672.175,25;17.854,75;663.210;2.111.184;981.143,50;958.977,75;200.885,50;195.007,50
01.08.22;00:00;00:00;720.197,50;243.004,25;283.540,75;798.906,25;1.846.813,75;17.510,50;656.264,25;2.139.748,75;1.184.593,75;376.633,25;208.341,75;157.537,75
08.08.22;00:00;00:00;717.711,50;238.445;92.794,50;865.456,25;2.010.592;18.123,50;666.744,75;1.928.261,75;1.157.125;322.418,25;233.471,50;219.946,25
15.08.22;00:00;00:00;717.121,25;262.048,25;187.210,25;584.453;1.346.704,25;17.864;665.406,75;1.947.708;1.181.438,25;578.765,50;164.591,25;189.478
22.08.22;00:00;00:00;722.575,75;249.803;325.042,50;867.464,75;1.467.262,50;17.977,50;666.075,75;2.040.511,50;1.417.740;601.065,50;145.547,50;223.493,75
29.08.22;00:00;00:00;732.158,75;222.684,50;428.741,75;1.283.294;1.529.599,25;18.604,50;669.934,25;1.990.581;1.376.193,25;609.949;199.778,75;210.167
05.09.22;00:00;00:00;726.843,50;240.193,25;328.082,75;1.253.174,25;1.178.622,50;18.987,25;669.095;2.153.472,50;1.468.119,25;454.679,25;179.825,75;197.587,50
12.09.22;00:00;00:00;735.006,75;256.231,50;680.466,75;2.234.128,50;946.969,50;19.090;673.318,75;1.788.003,75;1.159.834,75;396.400,50;213.696,50;207.883,50
19.09.22;00:00;00:00;759.255,50;257.469,50;359.800,75;734.274;1.147.702,25;19.476,25;680.851,75;2.167.665,25;1.614.269,25;525.140,75;188.783;214.788,50
26.09.22;00:00;00:00;747.888,50;270.971;515.352;2.111.020;764.395,75;19.699,75;677.149,50;1.853.835,75;1.339.947,50;383.159,25;223.603;211.255,50
03.10.22;00:00;00:00;731.459,25;310.047,75;689.499;2.250.617,25;1.111.192;19.414,75;672.561,50;1.943.241,75;959.139,50;284.810,75;273.233,25;211.572
10.10.22;00:00;00:00;711.129,75;259.792;457.611;1.336.705,50;790.023,75;19.302;675.970;2.166.875,75;1.320.603,50;539.447,50;228.961,75;190.515,50
17.10.22;00:00;00:00;751.740,25;217.318,25;476.195,75;1.708.813,75;701.698,50;19.845,25;578.426;1.951.503,25;863.074,75;631.807,75;212.001,50;200.576
24.10.22;00:00;00:00;774.663;262.463,50;522.613;2.026.917,50;720.409,25;18.742;460.443,50;1.988.064,75;398.910,75;532.913,25;192.458,25;207.131,50
31.10.22;00:00;00:00;778.757,25;231.061,25;761.758,25;2.663.284,25;545.414,50;22.785,75;667.162;1.778.403,75;615.241,50;432.132;218.162,25;219.738,50
07.11.22;00:00;00:00;787.907,25;220.283;714.940,75;2.805.553,75;546.570,75;24.289,25;669.898,75;2.047.682,25;966.468;382.915;234.363,25;208.598
14.11.22;00:00;00:00;765.980,50;216.864,75;593.154,25;2.365.673;332.918;24.840,50;664.155,50;2.368.980,25;1.651.940,50;490.264,75;254.950;188.566,25
21.11.22;00:00;00:00;769.429,25;220.740,75;658.493,25;1.890.943;311.274,75;25.344,75;653.212,50;2.317.993,75;1.823.852,25;636.011,50;251.587,75;238.823
28.11.22;00:00;00:00;766.334;207.914,75;527.653,50;1.034.296,75;96.486,25;29.841;627.434,75;2.364.143,50;2.320.192,75;1.069.830,50;241.467;249.958,50
05.12.22;00:00;00:00;773.456,50;188.726,50;437.419;812.368,25;124.592,25;31.484,25;621.996,50;2.441.404,25;2.323.812,25;1.174.799,50;233.719,25;263.695,50
12.12.22;00:00;00:00;801.098;205.200,50;520.523,50;1.016.671;143.365,50;28.014,50;622.861,50;2.470.294,75;2.154.318,75;1.209.612;295.521,50;249.491,25
19.12.22;00:00;00:00;794.606,50;217.316,75;605.922,25;2.919.702;129.808,75;26.454,50;605.882;1.920.364,50;1.047.397,50;573.010,50;235.720,25;225.948,75
26.12.22;00:00;00:00;774.880,25;229.825,25;832.457,50;4.486.426;260.167,25;22.231,75;562.545,25;823.450,75;533.191,50;311.209,50;215.011,25;207.338,75
02.01.23;00:00;00:00;796.467,25;211.999,25;797.490;3.928.421,25;215.856,50;23.631;408.369,50;1.481.022,25;743.031,75;445.158,75;251.349,25;206.395
09.01.23;00:00;00:00;797.516;234.016,50;777.251,50;5.268.951,50;186.117,75;22.977,75;396.188;1.364.678,75;846.487,75;487.898,75;264.329,75;208.054
16.01.23;00:00;00:00;809.239,50;232.034,25;517.969,75;2.320.955;230.914,25;26.492,25;407.669;2.236.492,75;1.926.747,75;1.089.233;234.427;212.674,50
23.01.23;00:00;00:00;818.935;234.525,75;361.527,50;967.174;118.622,50;29.727,75;358.099;2.473.533,75;2.080.321;1.392.692,50;253.814;240.258
30.01.23;00:00;00:00;801.380,25;201.389,25;516.102,25;4.291.641,25;261.523,25;27.677,50;358.075,25;1.588.360;1.182.122,50;1.049.762,50;189.927;231.895,25
06.02.23;00:00;00:00;814.065,50;204.230,50;415.505;1.812.526;693.497,25;28.338,25;494.777,75;2.201.869,50;1.825.444,50;1.537.715;211.142,75;236.436,75
13.02.23;00:00;00:00;809.374,25;197.996,50;338.601;2.602.428;543.104,75;26.985;507.399,25;1.983.032,50;1.522.913;1.216.943,50;179.530;231.687,50
20.02.23;00:00;00:00;808.675,25;197.433,25;517.492;2.853.054,50;615.480,75;27.078,75;501.729,25;1.905.283,25;1.269.837,75;1.152.551,75;153.551,75;233.256,75
27.02.23;00:00;00:00;811.712,75;197.711,75;275.432,25;1.476.108,75;912.534,25;32.750;498.367,50;2.219.801,75;1.503.343,50;1.593.159,25;211.814;242.734
06.03.23;00:00;00:00;793.204,25;199.595;466.551;2.561.166,50;564.708;31.858,50;490.798;1.866.113,75;1.176.451,25;1.407.664,25;241.355,50;222.553
13.03.23;00:00;00:00;768.822,75;218.424,75;578.427,75;3.018.458,75;1.043.291;27.672,75;482.017,25;1.521.459,50;731.671,75;840.145,25;247.133,75;231.061,75
20.03.23;00:00;00:00;745.254;216.060;673.889,50;3.279.831,50;824.962,75;23.801,25;472.315,75;1.287.092,75;710.413;853.245,25;244.781;226.284
27.03.23;00:00;00:00;762.147,25;246.716,25;685.775;3.056.970,25;901.936,25;25.065;471.871,75;1.347.916,75;632.565,25;755.852;284.375,25;222.873
03.04.23;00:00;00:00;771.018;225.135;240.978;899.065,50;1.464.219,75;26.175,50;460.369,75;1.837.871,25;889.402;990.231;264.760,75;211.359
10.04.23;00:00;00:00;758.492,25;221.741,25;529.515,25;2.202.732;1.050.124;25.506;373.655,75;1.420.183;567.785,25;759.256,75;231.002,50;217.769,75
17.04.23;00:00;00:00;727.413,50;240.577,25;373.713;2.366.707;1.351.961,75;25.839;0;1.505.642,25;756.307,75;823.555;248.663;211.206
24.04.23;00:00;00:00;724.363,50;279.985,25;363.872,25;1.867.898,75;1.345.023,50;24.223,50;0;1.664.813,75;572.063,25;849.777,75;234.895,50;192.578,25
01.05.23;00:00;00:00;759.158,25;331.654,75;425.158,75;1.449.118;1.678.844,50;22.160;0;1.443.858,50;340.683,50;759.705;218.040,50;209.564,25
08.05.23;00:00;00:00;757.724;351.417,25;255.159,25;1.438.958,25;1.453.856,25;21.374,50;0;1.474.538,50;576.340,75;836.730,50;230.978,25;193.916,50
15.05.23;00:00;00:00;764.076,50;342.260;376.420,50;1.836.004,75;1.715.151,25;20.744;0;1.006.924,50;310.514,75;756.167;250.530;202.880,75
22.05.23;00:00;00:00;746.402;355.114,50;367.894,75;1.408.787,25;1.983.443;19.452,25;0;1.023.921,75;279.652,50;818.614,25;244.597,50;221.997
29.05.23;00:00;00:00;749.976,88;353.771,50;292.013,50;1.321.226;2.357.652,50;19.291,75;0;715.579,75;238.245,50;745.246,50;211.361;177.092,25
05.06.23;00:00;00:00;736.938,75;350.215,75;308.952,25;1.127.792,75;2.133.143;16.969;0;926.997,75;288.419;974.477;223.671,25;158.649,25
12.06.23;00:00;00:00;727.297;329.189,50;240.299,50;1.014.409;2.184.713,75;16.975,50;0;1.361.685;428.527,50;881.997,50;193.152;175.607,25
19.06.23;00:00;00:00;718.404,25;331.576,25;246.498,75;1.006.998,50;1.855.623;16.972;0;1.690.254,75;441.626,25;1.034.370,25;183.110,75;185.217,25
26.06.23;00:00;00:00;721.321,75;304.049,75;449.813;1.747.564,50;1.667.130,50;17.100,75;0;1.323.128,25;431.800,50;915.438,50;152.713,25;195.216
